Fatty_Acid	Class	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Gleason.est	Gleason.se	Gleason.pval	Gleason.pval.adj
Arachidic	saturated	3.68675728428464	0.000683927022305464	0.00182380539281457	-0.00332010347184102	0.00210036946051842	0.114616837749936	0.267439288083184	0.0180993569442991	0.00460314054088969	9.69997171050075e-05	0.000678998019735052	-0.0142253341341469	0.0186293820723968	0.445492401385974	0.448696075151965	-0.0302171537993526	0.0398523252478537	0.448696075151965	0.448696075151965	0.0645031554360591	0.0523880679438462	0.218845272247162	0.306383381146026	-0.0993006333718471	0.0549430338685875	0.0713515874330671	0.249730556015735	0.0218150434851969	0.0158465860645946	0.169281810656761	0.296243168649332
Behenic	saturated	2.69376481064551	0.00959298758240967	0.0146901302176407	-0.000704898104099719	0.00224868386468817	0.754062198792071	0.839592088982737	0.0156142562499421	0.00492818432935879	0.00163335769962128	0.0114335038973489	0.00785578652436971	0.0199448676353207	0.693852656091716	0.839592088982737	0.00864114241841208	0.0426664367577668	0.839592088982737	0.839592088982737	-0.0117344927745976	0.0560873719133385	0.834369028030726	0.839592088982737	-0.153323874113544	0.058822752882159	0.00943795788814785	0.0330328526085175	0.00791363819972061	0.0169655687076363	0.641108422345231	0.839592088982737
Lignoceric	saturated	1.05259728493074	0.393397217388693	0.393397217388693	-0.00251374921308728	0.00229501251948648	0.273944379583607	0.639203552361749	0.00695181982802592	0.00502971756582774	0.167585206208322	0.586548221729126	-0.0118416913579694	0.0203557830610882	0.561024631669881	0.790012795204229	-0.00172142515175104	0.0435454747813257	0.968483365495789	0.968483365495789	-0.0330225509709877	0.0572429156216924	0.564294853717306	0.790012795204229	-0.102547218145298	0.0600346524538854	0.0882746336472794	0.586548221729126	-0.00210719948862301	0.0173151029345038	0.903191068947289	0.968483365495789
Myristic	saturated	5.98210726576932	1.09388141622535e-06	8.75105132980281e-06	-0.00816558657941967	0.00405518057154465	0.0446214940217107	0.156175229075988	0.051195634008685	0.00888727742446706	1.52101169771253e-08	1.06470818839877e-07	-0.0328098316924021	0.0359677236124065	0.362132002619599	0.519685722635597	0.0588589214306806	0.076942832255848	0.4446752603832	0.519685722635597	-0.0542653337116692	0.101145574290635	0.591862957010203	0.591862957010203	-0.0810096069795572	0.106078443661346	0.445444905116226	0.519685722635597	0.0285716459036463	0.0305949829981784	0.350854050960559	0.519685722635597
Palmitic	saturated	5.17613065538014	1.07863803504582e-05	3.69818754872853e-05	-0.00169750875760889	0.00187853886093534	0.366655190672273	0.514644890198318	0.0230979514397366	0.00411697967950547	3.45949957444755e-08	2.42164970211328e-07	-0.0150263840750665	0.0166618391840318	0.367603492998799	0.514644890198318	-0.0168894507925265	0.035643320417661	0.635830584998947	0.741802349165438	1.87773055949746e-05	0.0468551001772542	0.999680416419081	0.999680416419081	-0.0695510124512116	0.0491402232797429	0.157628611330306	0.514644890198318	0.0146402305017742	0.0141729482812751	0.302151427888538	0.514644890198318
Stearic	saturated	7.71801226258769	7.66855401401756e-09	1.84045296336421e-07	-0.000518432562189684	0.00162250742540667	0.749470608676216	0.792202026668868	0.0215212005169784	0.0035558647410254	2.92948103977172e-09	2.0506367278402e-08	0.0148524276767574	0.0143909494550264	0.302573656390198	0.569798925679098	-0.0132390549330537	0.0307853903086196	0.667361993638226	0.792202026668868	-0.0398236021996338	0.0404690845298329	0.325599386102342	0.569798925679098	-0.100433084460052	0.042442761667345	0.0183723536640473	0.0643032378241657	-0.00322683476179486	0.0122412766136889	0.792202026668868	0.792202026668868
Eicosenoic	cis-monounsaturated	2.65663599498874	0.0105528750024162	0.0146901302176407	-0.00543694452145194	0.00211624497057767	0.0105036759757319	0.0735257318301231	0.00972318800326254	0.00463793308826515	0.0365787200400248	0.128025520140087	-0.017566259241374	0.0187701910815009	0.349828248236215	0.36184933826546	-0.036649740836004	0.0401535465340367	0.36184933826546	0.36184933826546	0.0575898146979046	0.0527840398503421	0.27581403965485	0.36184933826546	-0.0867082666712255	0.0553583173238379	0.117952022195375	0.226630365687398	0.0242487595928747	0.0159663614856346	0.129503066107084	0.226630365687398
Nervonic	cis-monounsaturated	2.11190362924618	0.0410159322464654	0.0468753511388176	0.00151019895229159	0.00305487945283072	0.621286522382324	0.724834276112711	0.00704235673538119	0.00669503138432853	0.2933983027038	0.51344702973165	-0.0560131585099537	0.0270954789534272	0.0392597121602629	0.198037860508569	-0.00266038042355875	0.0579631592611073	0.963411300247895	0.963411300247895	-0.145629585094224	0.0761957528632386	0.056582245859591	0.198037860508569	-0.110971769838222	0.0799118195138404	0.165591274640226	0.386379640827194	0.0193453648416185	0.023048045154063	0.401701761176023	0.562382465646432
Oleic	cis-monounsaturated	3.37834422121492	0.00157764313843289	0.00378634353223894	-0.00238663415158346	0.00204212507530498	0.243118969335243	0.340366557069341	0.016930719238343	0.0044754929551221	0.000175056370085625	0.00122539459059938	-0.0258723764962246	0.0181127791955653	0.15384246565378	0.269224314894116	-0.019939182096153	0.0387471986370268	0.607077771992795	0.70825740065826	0.0160459710441363	0.0509353183837017	0.752882003745954	0.752882003745954	-0.118295480060564	0.0534194337165233	0.0272778586101405	0.0954725051354916	0.02260816224673	0.0154071516315514	0.142944114913372	0.269224314894116
Palmitoleic	cis-monounsaturated	6.53159223947702	2.2805777000201e-07	2.73669324002412e-06	-0.00156211357081029	0.00358455479879828	0.66318994497638	0.681665106460936	0.0255654953647907	0.0078558605167095	0.00121895268055594	0.0028967981716309	-0.103296870368844	0.0317934735585874	0.00124148493069896	0.0028967981716309	0.0279158881951079	0.0680131978662482	0.681665106460936	0.681665106460936	-0.401477364021294	0.0894070799817925	8.9622210284271e-06	6.27355471989897e-05	-0.125064629352235	0.0937674630184212	0.182926576615157	0.265453633889254	0.0355265333477964	0.0270442687299368	0.189609738492324	0.265453633889254
alphaLinolenic	Omega-3	5.19336874863727	1.02732360324209e-05	3.69818754872853e-05	-0.00251727329642066	0.00359063109584164	0.483609574382767	0.677053404135874	0.023676706803815	0.00786917724492544	0.00276435986452818	0.0119266390498395	0.09373967406721	0.0318473677240349	0.00340761115709699	0.0119266390498395	-0.103846215260167	0.0681284892807476	0.128116707020733	0.298938983048378	0.116291676156113	0.0895586368713484	0.194755868389076	0.340822769680883	-0.0269768468432072	0.0939264113370501	0.774076678582849	0.776388061439582	-0.00769882429937758	0.02709011236167	0.776388061439582	0.776388061439582
